"","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","F13","F14","F15","H01","H02","H03","H04"
"1921",NA,21.1263261781396,NA,NA,NA,NA,NA,NA,NA,19.2088656302909,NA,19.0311063690085,20.0357377587907,NA,18.4250999692402,NA,NA,NA,NA
"1922",NA,20.39201988864,22.0404383392499,NA,NA,NA,NA,NA,NA,18.8638601674052,NA,19.6273674485449,20.5807406189635,NA,18.8952146484074,NA,NA,NA,NA
"1923",NA,20.5390076751569,22.0932505994093,21.0005859194309,NA,NA,NA,NA,NA,18.853602494666,NA,20.2035764541542,20.6858282038371,NA,19.6694384560107,NA,NA,NA,NA
"1924",NA,21.7462864666914,21.0740573214359,20.8641670777833,NA,NA,NA,NA,NA,19.3136570748327,NA,20.3817468307616,20.7592543111422,NA,18.6446240308487,NA,NA,NA,NA
"1925",NA,21.4625818858688,20.8851522190474,20.5180367619106,NA,NA,NA,NA,NA,19.2718167638125,NA,19.8474222993439,20.4970667105033,NA,18.0077688610112,NA,NA,NA,NA
"1926",NA,21.3157570024267,20.8958598857049,20.9063531056316,NA,NA,NA,NA,NA,18.9165068064546,NA,19.5231105591082,19.9628264240458,NA,18.5090237899918,NA,NA,NA,NA
"1927",NA,21.3052553648731,20.5497045979964,20.2457012552129,NA,NA,NA,NA,NA,19.4812526301744,NA,19.4184721808833,19.7848005092507,NA,19.6801084099869,NA,NA,NA,NA
"1928",NA,21.2424684858829,20.6128362687273,20.4450654447572,NA,NA,NA,NA,NA,18.5718827233292,NA,18.6032201825454,20.7701715260578,NA,19.5128460425156,NA,NA,NA,NA
"1929",NA,20.8645959668633,21.3369803288466,20.4345815996301,NA,NA,NA,NA,NA,19.0944255768856,NA,18.6032201825454,20.0782589941357,NA,18.8226364000041,NA,NA,NA,NA
"1930",NA,20.6549998458582,19.7956773961702,19.8899225761403,NA,NA,NA,NA,NA,18.6138573245272,NA,18.8228294764484,21.3792110567233,NA,19.8585055807124,NA,NA,NA,NA
"1931",NA,20.5396407874728,20.5291548933984,19.6595762155059,NA,NA,NA,NA,NA,18.8750859124155,NA,18.4154131676356,19.4188707906108,NA,21.2111865103845,NA,NA,NA,NA
"1932",NA,21.0539301354936,20.2148858803953,20.0367665937497,NA,NA,NA,NA,NA,18.6453889071218,NA,18.7394225344889,19.9634414344102,NA,19.3249109699402,NA,NA,NA,NA
"1933",NA,18.8752795387866,19.1366448792801,19.042537910656,NA,NA,NA,NA,NA,18.8021212649632,NA,18.8648277135501,20.4559698348933,NA,19.8063515858429,NA,NA,NA,NA
"1934",NA,20.6132598955978,20.2568053415511,20.0262909255227,NA,NA,NA,NA,NA,18.6662837685381,NA,19.4609241886149,19.0007181696932,NA,20.2568053415511,NA,NA,NA,NA
"1935",NA,20.5505492134277,20.4666646117807,20.057924574809,NA,NA,NA,NA,NA,19.126383943688,NA,19.2100483329742,20.3094181459566,NA,20.6868911086447,NA,NA,NA,NA
"1936",NA,19.8379693805255,20.5295767701366,20.6449358763565,NA,NA,20.2884556119409,NA,NA,18.6142391237462,NA,18.1861051595641,20.0160210327404,NA,20.7078700182928,NA,NA,NA,NA
"1937",NA,20.2257809370217,19.8381730808724,20.1209930054128,NA,NA,20.519301706688,NA,NA,18.5204175810653,NA,18.3742104831433,20.2153011751171,NA,20.1105153961504,NA,NA,NA,NA
"1938",NA,20.2467411067397,19.7229951026191,19.6392456394304,NA,NA,20.7080828323313,NA,NA,18.4368655277783,NA,18.9174771225738,19.3566927355954,NA,19.9010083999096,NA,NA,NA,NA
"1939",NA,19.9850061105235,19.7231976015935,20.6243834265044,NA,NA,19.9431077153743,NA,NA,18.2073547051044,NA,17.769124353128,20.0059565989874,NA,20.1631126997822,NA,NA,NA,NA
"1940",NA,19.8174331803386,19.388278764241,20.225988700565,NA,NA,20.6558488937303,NA,NA,18.6564102564103,NA,19.3359675681223,20.6978058681465,NA,19.6394472619757,NA,NA,NA,NA
"1941",NA,20.1214063414784,20.1528411191914,19.9852113543935,NA,NA,21.0547959288578,NA,NA,18.6252589690468,NA,18.886506560522,19.8071650802452,NA,20.0061620622368,NA,NA,NA,NA
"1942",NA,20.0690193500678,19.3989407562508,20.2995623677344,NA,NA,21.1072842235131,NA,NA,19.1792629991072,NA,19.0642314795814,20.4568105458917,NA,20.498751579791,NA,NA,NA,NA
"1943",NA,20.341490476484,20.1633198089466,21.0023130300694,NA,NA,20.8763760831355,21.3803103692963,NA,19.1269727255936,NA,19.9537869062901,20.3100440718711,NA,20.8239115240719,NA,NA,NA,NA
"1944",NA,20.2159241491952,20.3731481291224,20.2683267587114,NA,NA,20.3102527224163,21.1809946841873,NA,19.1794598144651,NA,19.2003776450547,19.702663299041,NA,20.2054442732409,NA,NA,NA,NA
"1945",NA,20.1949646125874,20.4150827083119,19.9539918253333,NA,NA,19.9330430496221,20.3207347517439,NA,19.0957970776556,NA,19.1794598144651,18.750833427361,NA,20.561880882897,NA,NA,NA,NA
"1946",NA,20.0170488974704,20.0170488974704,NA,NA,NA,20.6145308806906,20.1113416462951,NA,19.3261010130038,NA,19.0855360367756,20.3943245214783,NA,20.2475730648724,NA,NA,NA,NA
