"","ITA","IT","TA","T"
"ITA",1,0.164700942237098,0.786723231896957,0.329483294670248
"IT",0.164700942237098,1,-0.448246208346023,0.483824664323451
"TA",0.786723231896957,-0.448246208346023,1,0.0683901585570828
"T",0.329483294670248,0.483824664323451,0.0683901585570828,1
