"","ITA","T"
"n",1065,1065
"k",160.55607224681,135
"sigma",0.533596322565629,0.730460759137586
"tss",1018.83047935326,1018.83047935326
"rss",302.947437724719,567.721587560809
"llh",-841.726342765385,-1176.17458595764
"Rsq",0.70265177194441,0.442771296044075
"adj.Rsq",0.650195545635325,0.362482429022469
"AIC",2004.56483002439,2622.34917191529
"AICc",2061.98689598941,2661.87554435878
"BIC",2802.64572757019,3293.39773246466
