Site,Year,?13C Wood,d13C Comment
F04,1978,-26.8
F04,1979,-26.71
F04,1980,-26.28
F04,1981,-26.25
F04,1982,-26.84
F04,1983,-26.42
F04,1984,-27.07
F04,1985,-27.2
F04,1986,-26.85
F04,1987,-26.66
F04,1988,-26.9
F04,1989,-26.64
F04,1990,-26.56
F04,1991,-26.78
F04,1992,-27.28
F04,1993,-26.96
F04,1994,-26.48
F04,1995,-25.89
F04,1996,-26.66
F04,1997,-26.92
F04,1998,-27.28
F04,1999,-27.42
F04,2000,-27.22
F04,2001,-27.34
F04,2002,-26.87
F04,2003,-27.22
F04,2004,-25.72
F04,2005,-27.38
F04,2006,-27.25
F04,2007,-27.89
F04,2008,-27.13
F04,2009,-28.38
F04,2010,-27.83
F05,1982,-26.9
F05,1983,-26.45
F05,1984,-27.87
F05,1985,-27.58
F05,1986,-27.03
F05,1987,-27.43
F05,1988,-27.79
F05,1989,-27.79
F05,1990,-27.16
F05,1991,-27.34
F05,1992,-27.25
F05,1993,-27.88
F05,1994,-27.14
F05,1995,-27.51
F05,1996,-27.25
F05,1997,-27.65
F05,1998,-27.24
F05,1999,-27.4
F05,2000,-27.29
F05,2001,-26.91
F05,2002,-27.12
F05,2003,-26.18
F05,2004,-27.35
F05,2005,-26.89
F05,2006,-27.11
F05,2007,-27.73
F05,2008,-27.78
F05,2009,-27.36
F05,2010,-27.45
F06,2001,-29.01
F06,2002,-29.28
F06,2003,-28.74
F06,2004,-28.68
F06,2005,-28.78
F06,2006,-29.02
F06,2007,-28.96
F06,2008,-29.16
F06,2009,-28.44
F06,2010,-28.46
F07,1936,-26.54
F07,1937,-26.77
F07,1938,-26.95
F07,1939,-26.23
F07,1940,-26.91
F07,1941,-27.3
F07,1942,-27.35
F07,1943,-27.13
F07,1944,-26.6
F07,1945,-26.24
F07,1946,-26.9
F07,1947,-26.23
F07,1948,-26.76
F07,1949,-26.35
F07,1950,-26.6
F07,1951,-26.71
F07,1952,-26.99
F07,1953,-26.32
F07,1954,-25.91
F07,1955,-26.02
F07,1956,-26.37
F07,1957,-26.41
F07,1958,-26.51
F07,1959,-25.83
F07,1960,-26.04
F07,1961,-26.22
F07,1962,-26.57
