"","n","k","sigma","tss","rss","llh","Rsq","adj.Rsq","AIC","AICc","BIC","dAIC","dAIcC","dBIC"
"ITA",18377,655,0.399521169248096,7841.97339601728,2933.12501811128,-9214.64678565746,0.625971057285029,0.612168160967706,19739.2935713149,19787.7874486356,24860.6437022254,0,0,0
"IT",18377,516,0.424640498497575,7841.97339601728,3313.55210527141,-10335.2058969143,0.577459404930617,0.56527596579167,21702.4117938286,21732.2854780391,25736.9410572634,1963.11822251366,1944.49802940349,876.29735503799
"TA",18377,280,0.502179942950563,7841.97339601728,4634.14595719125,-13417.315156202,0.409058699492044,0.399948204777908,27394.6303124039,27403.3261567894,29583.9097576787,7655.33674108902,7615.53870815383,4723.26605545324
"T",18377,141,0.634018079319484,7841.97339601728,7386.76472403531,-17701.3423346872,0.0580477194953456,0.050816236754029,35684.6846693745,35686.8806660841,36787.1432471735,15945.3910980596,15899.0932174485,11926.4995449481
