"","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","F13","F14","F15","H01","H02","H03","H04"
"1921",NA,49.2829822331977,NA,NA,NA,NA,NA,NA,NA,65.3714095069065,NA,66.86289622906,58.433549888908,NA,71.9475848819832,NA,NA,NA,NA
"1922",NA,55.5172665329412,41.6679986873862,NA,NA,NA,NA,NA,NA,68.356174810351,NA,61.9415312259973,53.9317201316068,NA,68.0927486121078,NA,NA,NA,NA
"1923",NA,54.3359448557736,41.2650025641488,50.4541433047858,NA,NA,NA,NA,NA,68.5099414096257,NA,57.1568694770936,53.1012069472659,NA,61.6488873209944,NA,NA,NA,NA
"1924",NA,44.2410334870709,49.9018126554968,51.6692788942201,NA,NA,NA,NA,NA,64.7259795551282,NA,55.731694967729,52.5527395535732,NA,70.35984465173,NA,NA,NA,NA
"1925",NA,46.7066516816926,51.5771176214197,54.6736390380879,NA,NA,NA,NA,NA,65.1851738671789,NA,60.3300939906005,54.8505158544381,NA,75.8470823393692,NA,NA,NA,NA
"1926",NA,48.0079593876905,51.554324969738,51.4657013700255,NA,NA,NA,NA,NA,68.2715381999106,NA,63.1482863730185,59.4345356774454,NA,71.7130568179343,NA,NA,NA,NA
"1927",NA,48.159649043745,54.5492348985813,57.12014812378,NA,NA,NA,NA,NA,63.5849819052177,NA,64.1159072756055,61.0179204721,NA,61.9032867319142,NA,NA,NA,NA
"1928",NA,48.7702406740615,54.1036573807754,55.5247913238623,NA,NA,NA,NA,NA,71.3919336793216,NA,71.1264839072552,52.7709198442617,NA,63.4213290148635,NA,NA,NA,NA
"1929",NA,52.0559169625645,48.0479655727288,55.7043795695097,NA,NA,NA,NA,NA,67.0749511341676,NA,71.2425898228727,58.7276034457734,NA,69.3809500132395,NA,NA,NA,NA
"1930",NA,53.9044260882843,61.2048645989077,60.4041975832328,NA,NA,NA,NA,NA,71.245105915521,NA,69.4697672797305,47.7518352703154,NA,60.6711030311159,NA,NA,NA,NA
"1931",NA,54.9737978344753,55.0630265293504,62.4626216396247,NA,NA,NA,NA,NA,69.1381655074599,NA,73.0497059822599,64.5108810212682,NA,49.2593448770653,NA,NA,NA,NA
"1932",NA,50.6797215774582,57.8310888180913,59.3492404813703,NA,NA,NA,NA,NA,71.2082726444987,NA,70.4068024023923,59.974207685696,NA,65.4165497528883,NA,NA,NA,NA
"1933",NA,69.3387371219702,67.1081689782678,67.9113053310717,NA,NA,NA,NA,NA,69.9630911955849,NA,69.4279360508422,55.8486645174759,NA,61.3926963663958,NA,NA,NA,NA
"1934",NA,54.5769549850737,57.6229853280063,59.5928126109921,NA,NA,NA,NA,NA,71.2145551858887,NA,64.4240715076876,68.356694844159,NA,57.6229853280063,NA,NA,NA,NA
"1935",NA,55.1841834448413,55.9019349865891,59.3992847498369,NA,NA,NA,NA,NA,67.3699338446609,NA,66.6540665314655,57.2474011515771,NA,54.0175854807889,NA,NA,NA,NA
"1936",NA,61.3605388803428,55.4352078708986,54.4468712805522,NA,NA,57.5010080592009,NA,NA,71.8448207816211,NA,75.512849047761,59.8350852891875,NA,53.9076844118608,NA,NA,NA,NA
"1937",NA,58.0754399757542,61.3984055566803,58.9737878407638,NA,NA,55.5590838198758,NA,NA,72.6955351180797,NA,73.948969862433,58.1652830673037,NA,59.0636124776925,NA,NA,NA,NA
"1938",NA,57.9331003509224,62.4260763044123,63.1445244095321,NA,NA,53.9754619859187,NA,NA,73.4591900797333,NA,69.3362443743811,65.5684157471879,NA,60.8989821445805,NA,NA,NA,NA
"1939",NA,60.1978043115203,62.4444630593348,54.7111123549688,NA,NA,60.5573472322833,NA,NA,75.4523737556996,NA,79.2129622020013,60.0180217736233,NA,58.6694172914151,NA,NA,NA,NA
"1940",NA,61.6556620802789,65.3395539706747,58.1485925703714,NA,NA,54.4586422396604,NA,NA,71.6219650555934,NA,65.7885969816047,54.0984806008659,NA,63.1835058042798,NA,NA,NA,NA
"1941",NA,59.0463349448311,58.7764965874719,60.2154423560915,NA,NA,51.0340526460878,NA,NA,71.8893699117222,NA,69.6468020910946,61.7438041784261,NA,60.0355999967281,NA,NA,NA,NA
"1942",NA,59.4768610529305,65.2270100479919,57.4985010313059,NA,NA,50.5671931815235,NA,NA,67.1121319517983,NA,68.0992525410924,56.1491064051386,NA,55.7891975882426,NA,NA,NA,NA
"1943",NA,57.1202891093657,58.648733276127,51.451396517491,NA,NA,52.5317516319519,48.2087312899418,NA,67.53907800113,NA,60.4462196257967,57.3900533436283,NA,52.9818209411755,NA,NA,NA,NA
"1944",NA,58.1787035767307,56.8303862046223,57.7293106228873,NA,NA,57.3697630193228,49.9024764500424,NA,67.0671878189812,NA,66.8878012242406,62.5803128033012,NA,58.2685766279868,NA,NA,NA,NA
"1945",NA,58.3584478328716,56.4707647166059,60.4249760775486,NA,NA,60.604628050669,57.2798715012228,NA,67.784660570216,NA,67.0671878189812,70.7429909893624,NA,55.2118566983865,NA,NA,NA,NA
"1946",NA,59.8842128565938,59.8842128565938,NA,NA,NA,54.7603421985026,59.0755795211251,NA,65.8096259919115,NA,67.8726569412582,56.6487822425219,NA,57.9072896178949,NA,NA,NA,NA
"1947",NA,62.059844154795,56.6670501503718,NA,NA,NA,60.8021199719074,65.8308480576941,NA,70.2262456486181,NA,61.790362271378,61.5208637848772,NA,60.2629846064541,NA,NA,NA,NA
"1948",NA,62.527358002287,57.3132313565561,57.7629697696635,NA,NA,56.1436952176527,62.0781089420603,NA,65.9401440338534,NA,65.7605900847189,63.7850100132031,NA,62.6172022792091,NA,NA,NA,NA
"1949",NA,62.5676592320661,61.3088347709249,62.7474617558317,NA,NA,59.8697349665909,57.4401812419164,NA,71.8178967751006,NA,62.3878493236826,57.7101982136423,NA,61.3987628071951,NA,NA,NA,NA
"1950",NA,57.6555178373965,63.2359097285803,61.0766009974825,NA,NA,57.7455805624296,60.1765748519128,NA,68.2701608826166,NA,61.7065093191882,61.9764423080855,NA,56.3043548681296,NA,NA,NA,NA
"1951",NA,63.9477291211203,60.5244219999255,60.5244219999255,NA,NA,56.827855794874,58.9920772823451,NA,68.2680906690997,NA,68.8977878455623,56.9180529996027,NA,61.5156540787744,NA,NA,NA,NA
"1952",NA,60.5120029036972,60.3315193639229,61.5947484588178,NA,NA,54.3714001577352,67.9955367861609,NA,69.2565633620546,NA,67.4549859041513,58.7971098604161,NA,59.8802780740901,NA,NA,NA,NA
"1953",NA,60.4072201499897,56.3391196219736,63.0268930132155,NA,NA,60.5879373427187,66.3669701655323,NA,72.3186514309257,NA,69.3438183675193,60.3168587695057,NA,62.1237337856178,NA,NA,NA,NA
"1954",NA,65.3886351951136,60.0515078542198,61.5899874805907,NA,NA,64.3940678874597,63.1279300331149,NA,65.4790392678506,NA,76.2238886338439,59.5989115942329,NA,67.9192478784238,NA,NA,NA,NA
"1955",NA,65.2407479173344,66.0559390477358,62.4317140457477,NA,NA,63.6099136932361,68.229045914827,NA,69.7676824312141,NA,74.1091720480889,58.0787121555883,NA,65.4219145187139,NA,NA,NA,NA
"1956",NA,61.8247989908031,67.0898911050753,60.098663322139,NA,NA,60.5529748676129,59.916925637756,NA,67.4527698609168,NA,76.6961222478444,59.2807849360893,NA,60.098663322139,NA,NA,NA,NA
"1957",NA,62.0323183860447,62.3963209850952,57.2975618252866,NA,NA,60.393936552402,65.4891361495545,NA,70.0334738383509,NA,70.8509595070598,56.6598043372817,NA,60.302897576084,NA,NA,NA,NA
"1958",NA,66.0906946793648,68.095028063438,58.4294512903392,NA,NA,59.6159846592912,60.8022011708699,NA,71.1908546265257,NA,65.3616217123947,59.0683932541158,NA,67.0929745164334,NA,NA,NA,NA
"1959",NA,64.57587711926,60.45769350709,62.9290603951722,NA,NA,66.1306452271691,60.2745747610716,NA,68.5074765430146,NA,69.6954166200531,56.7938884860495,NA,64.6673490903585,NA,NA,NA,NA
"1960",NA,68.0695892575004,61.2803159800221,64.4009929288768,NA,NA,64.4009929288768,63.3916006018672,NA,74.6654777429653,NA,78.0512439487879,NA,NA,63.8504435626034,NA,NA,NA,NA
"1961",NA,62.3416619285804,65.7447116628118,70.7985241112852,NA,NA,62.8936835099494,75.2044652366816,NA,70.0637786346605,NA,66.7559306660514,64.0894969329452,NA,65.1010897406661,NA,NA,NA,NA
"1962",NA,64.6181893802175,63.2349423964945,56.2199364802641,NA,NA,60.0057082642674,65.2635588350203,NA,69.13382836838,NA,62.0357835917806,63.3271721198679,NA,66.0931832695539,NA,NA,NA,NA
"1963",NA,67.677017737403,59.5471997558903,59.1773132743817,NA,NA,59.9170558372277,60.6566768143793,NA,72.9350895335796,NA,65.645940469917,59.9170558372277,NA,62.3203796205136,NA,NA,NA,NA
"1964",NA,61.1414975869554,56.8788299011106,60.4004534842513,NA,NA,65.5852056980356,66.1403612578981,NA,69.2849512847458,NA,69.932094469903,63.36389928499,NA,69.0075757396854,NA,NA,NA,59.9372390610672
"1965",NA,65.3880735631225,56.947960053204,58.711485335171,NA,NA,62.4219201890933,67.1483050400905,NA,72.8874449456198,NA,72.2398431957705,65.8513589587119,NA,65.1100794911736,NA,NA,NA,62.4219201890933
"1966",NA,68.0769721716287,66.2165483752126,64.1691994765846,NA,NA,63.4244795716586,68.6349503529004,NA,65.8443719214442,NA,69.0068976245729,67.1468557747808,NA,68.820927806674,NA,NA,NA,68.7279400343009
"1967",NA,63.9462505085378,59.4647362647076,60.0251672988472,NA,NA,58.6239601267442,68.2368905538401,NA,65.5323940415409,NA,70.0079291005376,60.6789161740168,NA,62.0794900158838,NA,NA,NA,59.4647362647076
"1968",NA,61.5881953590693,59.5279000416142,64.4897584538428,NA,NA,63.273198908877,65.986616612988,NA,70.8480104185958,NA,62.9924082561447,69.2592796080817,NA,64.2090427785876,NA,NA,NA,63.7411448749748
"1969",NA,65.0817884497664,62.9187296913919,64.0474096018708,NA,NA,68.4653947977402,63.8593156064627,NA,71.0953598942529,NA,73.4422659653722,63.1068623343981,NA,64.2354958691884,NA,NA,NA,85.7203944564326
"1970",NA,70.5684786951295,63.1186324511171,62.5523272264207,NA,NA,68.306512358069,73.2060311960389,NA,66.1377482828881,NA,73.6768632213894,65.3831553781174,NA,65.3831553781174,NA,NA,NA,61.8915495481931
